cve_id,dep_update_delay_days,time_to_remediate_days
CVE-2024-1000,60.362814773748255,70.57645788305564
CVE-2024-1001,78.72083922390759,78.00896425682592
CVE-2024-1002,0.4119478814173062,21.68190230692118
CVE-2024-1003,19.642116892077063,122.8503376503936
CVE-2024-1004,74.72241840135675,28.534566635199724
CVE-2024-1005,5.587537526945367,10.948260531387568
CVE-2024-1006,1.2003665579937008,32.52749633663223
CVE-2024-1007,16.871232753037727,46.47671788171036
CVE-2024-1008,16.92960463505696,17.316423729076185
CVE-2024-1009,22.727059113547714,5.082833641617499
CVE-2024-1010,19.08301324737698,27.467881699627064
CVE-2024-1011,35.91923392286743,30.106740680273468
CVE-2024-1012,23.414951833852847,66.41129544776702
CVE-2024-1013,23.448891405466505,3.3830691808107893
CVE-2024-1014,33.00760140953828,49.94850741906072
CVE-2024-1015,22.16883097233555,7.207052788787727
CVE-2024-1016,1.9243437365233613,51.43159049490588
CVE-2024-1017,50.021371257717824,18.833616585042737
CVE-2024-1018,10.125232057754356,83.91983311060022
CVE-2024-1019,69.57681500912584,27.42699245842353
CVE-2024-1020,30.836259321742247,11.978667605638122
CVE-2024-1021,43.30102122352615,64.6961265510106
CVE-2024-1022,11.241283028781604,173.1111114846165
CVE-2024-1023,5.091576941264586,45.18664670561524
CVE-2024-1024,31.620676083742172,6.4964155357428455
CVE-2024-1025,12.333076858725121,10.288158342588508
CVE-2024-1026,16.875963685600144,21.487046901186588
CVE-2024-1027,56.781159331905286,30.884678334509047
CVE-2024-1028,0.6775406001145972,0.9156085057954898
CVE-2024-1029,47.44092209316487,29.57440965284952
CVE-2024-1030,77.42617774927848,28.986199189534908
CVE-2024-1031,21.171791702539753,25.76221277297419
CVE-2024-1032,4.670822730172545,16.61041570480166
CVE-2024-1033,15.13708113827433,141.53389957028992
CVE-2024-1034,4.839408615021339,49.34834814731561
CVE-2024-1035,3.928720622425349,69.72379725454735
CVE-2024-1036,99.65467039503105,32.61755055547912
CVE-2024-1037,10.84723339596758,20.517205743421524
CVE-2024-1038,9.305200751594747,20.87832038547485
CVE-2024-1039,44.23303935795203,14.371033268427631
CVE-2024-1040,22.543634210239,35.630191634822665
CVE-2024-1041,61.90481889599877,86.6289393754867
CVE-2024-1042,264.9218056641674,1.799613128144692
CVE-2024-1043,2.510737815452077,62.61749086654973
CVE-2024-1044,4.632266153934864,68.91229674679435
CVE-2024-1045,85.99540786823877,22.593183419518652
CVE-2024-1046,7.121137037685171,61.27985862150914
CVE-2024-1047,1.3791124057356887,22.190772349021813
CVE-2024-1048,59.06107105798309,17.050583792184206
CVE-2024-1049,2.2926313208149462,12.082964920684718
